"","start_station_name","total_count"
"1","2112 W Peterson Ave",127
"2","63rd St Beach",693
"3","900 W Harrison St",980
"4","Aberdeen St & Jackson Blvd",1291
"5","Aberdeen St & Monroe St",1275
"6","Aberdeen St & Randolph St",1727
"7","Ada St & Washington Blvd",774
"8","Adler Planetarium",12031
"9","Albany Ave & 26th St",79
"10","Albany Ave & Bloomingdale Ave",1055
"11","Albany Ave & Montrose Ave",271
"12","Archer (Damen) Ave & 37th St",97
"13","Archer (Damen) Ave & 37th St (*)",7
"14","Artesian Ave & Hubbard St",511
"15","Ashland Ave & 13th St",152
"16","Ashland Ave & 21st St",193
"17","Ashland Ave & 50th St",37
"18","Ashland Ave & 63rd St",16
"19","Ashland Ave & 66th St",6
"20","Ashland Ave & 69th St",16
"21","Ashland Ave & Archer Ave",188
"22","Ashland Ave & Augusta Blvd",602
"23","Ashland Ave & Belle Plaine Ave",509
"24","Ashland Ave & Blackhawk St",973
"25","Ashland Ave & Chicago Ave",941
"26","Ashland Ave & Division St",3059
"27","Ashland Ave & Garfield Blvd",10
"28","Ashland Ave & Grace St",728
"29","Ashland Ave & Grand Ave",547
"30","Ashland Ave & Lake St",609
"31","Ashland Ave & Lake St (Temp)",176
"32","Ashland Ave & McDowell Ave",42
"33","Ashland Ave & Pershing Rd",64
"34","Ashland Ave & Wellington Ave",541
"35","Ashland Ave & Wrightwood Ave",951
"36","Austin Blvd & Chicago Ave",57
"37","Austin Blvd & Lake St",142
"38","Austin Blvd & Madison St",84
"39","Avers Ave & Belmont Ave",306
"40","Avondale Ave & Irving Park Rd",358
"41","Bennett Ave & 79th St",13
"42","Benson Ave & Church St",1127
"43","Bernard St & Elston Ave",107
"44","Bissell St & Armitage Ave",2397
"45","Blackstone Ave & Hyde Park Blvd",739
"46","Blue Island Ave & 18th St",785
"47","Bosworth Ave & Howard St",80
"48","Broadway & Argyle St",1130
"49","Broadway & Barry Ave",4187
"50","Broadway & Belmont Ave",2760
"51","Broadway & Berwyn Ave",1086
"52","Broadway & Cornelia Ave",3025
"53","Broadway & Granville Ave",1648
"54","Broadway & Ridge Ave",932
"55","Broadway & Sheridan Rd",1613
"56","Broadway & Thorndale Ave",1403
"57","Broadway & Waveland Ave",2001
"58","Broadway & Wilson Ave",1242
"59","Buckingham Fountain",3951
"60","Buckingham Fountain (Temp)",3722
"61","Budlong Woods Library",202
"62","Burling St (Halsted) & Diversey Pkwy (Temp)",1357
"63","Burnham Harbor",3445
"64","California Ave & 21st St",179
"65","California Ave & 23rd Pl",85
"66","California Ave & 26th St",46
"67","California Ave & Altgeld St",448
"68","California Ave & Byron St",388
"69","California Ave & Cortez St",671
"70","California Ave & Division St",631
"71","California Ave & Fletcher St",537
"72","California Ave & Francis Pl",563
"73","California Ave & Francis Pl (Temp)",96
"74","California Ave & Lake St",115
"75","California Ave & Milwaukee Ave",1903
"76","California Ave & Montrose Ave",514
"77","California Ave & North Ave",592
"78","Calumet Ave & 18th St",2376
"79","Calumet Ave & 21st St",2040
"80","Calumet Ave & 33rd St",309
"81","Calumet Ave & 35th St",227
"82","Calumet Ave & 51st St",187
"83","Calumet Ave & 71st St",28
"84","Campbell Ave & Fullerton Ave",509
"85","Campbell Ave & Montrose Ave",209
"86","Campbell Ave & North Ave",829
"87","Canal St & Adams St",3912
"88","Canal St & Harrison St",289
"89","Canal St & Jackson Blvd",1278
"90","Canal St & Madison St",2724
"91","Canal St & Monroe St",1039
"92","Canal St & Monroe St (*)",170
"93","Canal St & Taylor St",1436
"94","Cannon Dr & Fullerton Ave",3646
"95","Carpenter St & 63rd St",8
"96","Carpenter St & Huron St",983
"97","Central Ave & Chicago Ave",55
"98","Central Ave & Harrison St",51
"99","Central Ave & Lake St",53
"100","Central Ave & Madison St",41
"101","Central Park Ave & 24th St",45
"102","Central Park Ave & Bloomingdale Ave",1069
"103","Central Park Ave & Elbridge Ave",266
"104","Central Park Ave & North Ave",268
"105","Central Park Ave & Ogden Ave",95
"106","Central Park Blvd & 5th Ave",35
"107","Central St & Girard Ave",174
"108","Central St Metra",253
"109","Cherry Ave & Blackhawk St",148
"110","Chicago Ave & Dempster St",458
"111","Chicago Ave & Sheridan Rd",692
"112","Chicago Ave & Washington St",474
"113","Christiana Ave & Lawrence Ave",272
"114","Cicero Ave & Flournoy St",10
"115","Cicero Ave & Lake St",30
"116","Cicero Ave & Quincy St",35
"117","Cityfront Plaza Dr & Pioneer Ct",4029
"118","Claremont Ave & Hirsch St",333
"119","Clarendon Ave & Gordon Ter",1651
"120","Clarendon Ave & Junior Ter",1596
"121","Clarendon Ave & Leland Ave",890
"122","Clark St & 9th St (AMLI)",772
"123","Clark St & Armitage Ave",6706
"124","Clark St & Berwyn Ave",1445
"125","Clark St & Bryn Mawr Ave",670
"126","Clark St & Chicago Ave",1935
"127","Clark St & Columbia Ave",144
"128","Clark St & Drummond Pl",3125
"129","Clark St & Elm St",4292
"130","Clark St & Elmdale Ave",390
"131","Clark St & Grace St",2334
"132","Clark St & Ida B Wells Dr",960
"133","Clark St & Jarvis Ave",140
"134","Clark St & Lake St",2342
"135","Clark St & Leland Ave",715
"136","Clark St & Lincoln Ave",6809
"137","Clark St & Lunt Ave",373
"138","Clark St & Montrose Ave",583
"139","Clark St & Newport St",2852
"140","Clark St & North Ave",3656
"141","Clark St & Randolph St",2370
"142","Clark St & Schiller St",2447
"143","Clark St & Schreiber Ave",286
"144","Clark St & Touhy Ave",51
"145","Clark St & Wellington Ave",2125
"146","Clark St & Winnemac Ave",1234
"147","Clark St & Wrightwood Ave",3197
"148","Clifton Ave & Armitage Ave",1348
"149","Clinton St & 18th St",405
"150","Clinton St & Jackson Blvd",1251
"151","Clinton St & Jackson Blvd (*)",296
"152","Clinton St & Lake St",1932
"153","Clinton St & Madison St",3949
"154","Clinton St & Polk St",255
"155","Clinton St & Polk St (*)",61
"156","Clinton St & Roosevelt Rd",1203
"157","Clinton St & Tilden St",526
"158","Clinton St & Washington Blvd",2805
"159","Clybourn Ave & Division St",574
"160","Columbus Dr & Randolph St",7909
"161","Commercial Ave & 83rd St",25
"162","Conservatory Dr & Lake St",258
"163","Cornell Ave & Hyde Park Blvd",1773
"164","Cornell Dr & Hayes Dr",120
"165","Cottage Grove Ave & 43rd St",169
"166","Cottage Grove Ave & 47th St",260
"167","Cottage Grove Ave & 51st St",217
"168","Cottage Grove Ave & 63rd St",111
"169","Cottage Grove Ave & 67th St",34
"170","Cottage Grove Ave & 71st St",27
"171","Cottage Grove Ave & 78th St",31
"172","Cottage Grove Ave & 83rd St",79
"173","Cottage Grove Ave & Oakwood Blvd",409
"174","Daley Center Plaza",3551
"175","Damen Ave & 51st St",20
"176","Damen Ave & 59th St",12
"177","Damen Ave & Charleston St",920
"178","Damen Ave & Chicago Ave",1348
"179","Damen Ave & Clybourn Ave",562
"180","Damen Ave & Cortland St",2089
"181","Damen Ave & Coulter St",53
"182","Damen Ave & Cullerton St",502
"183","Damen Ave & Division St",1128
"184","Damen Ave & Foster Ave",521
"185","Damen Ave & Grand Ave",695
"186","Damen Ave & Leland Ave",721
"187","Damen Ave & Madison St",750
"188","Damen Ave & Melrose Ave",568
"189","Damen Ave & Pershing Rd",107
"190","Damen Ave & Pierce Ave",4154
"191","Damen Ave & Sunnyside Ave",413
"192","Damen Ave & Thomas St (Augusta Blvd)",889
"193","Damen Ave & Walnut (Lake) St (*)",224
"194","Damen Ave & Wellington Ave",671
"195","Dayton St & North Ave",1612
"196","Dearborn Pkwy & Delaware Pl",2832
"197","Dearborn St & Adams St",1751
"198","Dearborn St & Erie St",4119
"199","Dearborn St & Monroe St",2416
"200","Dearborn St & Van Buren St",900
"201","Dearborn St & Van Buren St (*)",179
"202","Delano Ct & Roosevelt Rd",1431
"203","Desplaines St & Jackson Blvd",1368
"204","Desplaines St & Kinzie St",2657
"205","Desplaines St & Randolph St",1763
"206","DIVVY Map Frame B/C Station",2
"207","Dodge Ave & Church St",207
"208","Dodge Ave & Mulford St",114
"209","Dorchester Ave & 49th St",149
"210","Dorchester Ave & 63rd St",211
"211","Drake Ave & Addison St",211
"212","Drake Ave & Fullerton Ave",504
"213","Drake Ave & Montrose Ave",216
"214","Dusable Harbor",12694
"215","DuSable Museum",211
"216","Eastlake Ter & Rogers Ave",363
"217","Eberhart Ave & 61st St",90
"218","Eckhart Park",805
"219","Eggleston Ave & 69th St (*)",8
"220","Elizabeth (May) St & Fulton St",417
"221","Elizabeth St & 47th St",7
"222","Ellis Ave & 53rd St",533
"223","Ellis Ave & 55th St",1208
"224","Ellis Ave & 58th St",691
"225","Ellis Ave & 60th St",1328
"226","Ellis Ave & 83rd St",27
"227","Elmwood Ave & Austin St",167
"228","Elston Ave & Wabansia Ave",444
"229","Emerald Ave & 28th St",204
"230","Emerald Ave & 31st St",280
"231","Evans Ave & 75th St",15
"232","Evanston Civic Center",181
"233","Exchange Ave & 79th St",20
"234","Fairbanks Ct & Grand Ave",5197
"235","Fairbanks St & Superior St",975
"236","Fairbanks St & Superior St (*)",250
"237","Fairfield Ave & Roosevelt Rd",162
"238","Federal St & Polk St",2097
"239","Field Blvd & South Water St",3150
"240","Field Museum",7647
"241","Financial Pl & Ida B Wells Dr",703
"242","Financial Pl & Ida B Wells Dr (Temp)",202
"243","Fort Dearborn Dr & 31st St",4011
"244","Francisco Ave & Foster Ave",325
"245","Franklin St & Adams St (Temp)",1233
"246","Franklin St & Chicago Ave",812
"247","Franklin St & Chicago Ave (Temp)",789
"248","Franklin St & Illinois St",672
"249","Franklin St & Jackson Blvd",3204
"250","Franklin St & Lake St",1769
"251","Franklin St & Monroe St",3510
"252","Franklin St & Quincy St",610
"253","Glenwood Ave & Morse Ave",600
"254","Glenwood Ave & Touhy Ave",217
"255","Green St & Madison St",2381
"256","Green St & Randolph St",3108
"257","Greenview Ave & Diversey Pkwy",874
"258","Greenview Ave & Fullerton Ave",1602
"259","Greenview Ave & Jarvis Ave",355
"260","Greenwood Ave & 47th St",416
"261","Greenwood Ave & 79th St",21
"262","Halsted St & 18th St",321
"263","Halsted St & 21st St",438
"264","Halsted St & 35th St",168
"265","Halsted St & 35th St (*)",23
"266","Halsted St & 37th St",69
"267","Halsted St & 47th Pl",18
"268","Halsted St & 51st St",18
"269","Halsted St & 56th St",23
"270","Halsted St & 59th St",16
"271","Halsted St & 63rd St",25
"272","Halsted St & 69th St",37
"273","Halsted St & Archer Ave",325
"274","Halsted St & Clybourn Ave",1525
"275","Halsted St & Clybourn Ave (*)",438
"276","Halsted St & Dickens Ave",2052
"277","Halsted St & Maxwell St",985
"278","Halsted St & North Branch St",270
"279","Halsted St & Polk St",840
"280","Halsted St & Roosevelt Rd",667
"281","Halsted St & Roscoe St",2641
"282","Halsted St & Willow St",1213
"283","Halsted St & Wrightwood Ave",1585
"284","Harper Ave & 59th St",539
"285","Hermitage Ave & Polk St",315
"286","Honore St & Division St",1582
"287","Hoyne Ave & 47th St",37
"288","Hoyne Ave & Balmoral Ave",340
"289","Humboldt Blvd & Armitage Ave",964
"290","Indiana Ave & 26th St",452
"291","Indiana Ave & 31st St",409
"292","Indiana Ave & 40th St",116
"293","Indiana Ave & Roosevelt Rd",8224
"294","Jefferson St & Monroe St",897
"295","Jeffery Blvd & 67th St",319
"296","Jeffery Blvd & 71st St",77
"297","Jeffery Blvd & 76th St",43
"298","Karlov Ave & Madison St",27
"299","Kedzie Ave & 21st St",76
"300","Kedzie Ave & 24th St",32
"301","Kedzie Ave & Bryn Mawr Ave",255
"302","Kedzie Ave & Chicago Ave",146
"303","Kedzie Ave & Foster Ave",201
"304","Kedzie Ave & Harrison St",36
"305","Kedzie Ave & Lake St",168
"306","Kedzie Ave & Leland Ave",289
"307","Kedzie Ave & Milwaukee Ave",2409
"308","Kedzie Ave & Palmer Ct",637
"309","Kedzie Ave & Roosevelt Rd",68
"310","Kenton Ave & Madison St",21
"311","Keystone Ave & Fullerton Ave",199
"312","Keystone Ave & Montrose Ave",124
"313","Kilbourn Ave & Irving Park Rd",64
"314","Kilbourn Ave & Milwaukee Ave",186
"315","Kildare Ave & Montrose Ave",154
"316","Kimball Ave & Belmont Ave",409
"317","Kimbark Ave & 53rd St",1169
"318","Kingsbury St & Erie St",1721
"319","Kingsbury St & Kinzie St",2417
"320","Knox Ave & Montrose Ave",144
"321","Kosciuszko Park",261
"322","Kostner Ave & Adams St",7
"323","Kostner Ave & Lake St",10
"324","Laflin St & Cullerton St",39
"325","Lake Park Ave & 35th St",1078
"326","Lake Park Ave & 47th St",830
"327","Lake Park Ave & 53rd St",1403
"328","Lake Park Ave & 56th St",972
"329","Lake Shore Dr & Belmont Ave",5949
"330","Lake Shore Dr & Diversey Pkwy",4775
"331","Lake Shore Dr & Monroe St",39686
"332","Lake Shore Dr & North Blvd",19150
"333","Lake Shore Dr & Ohio St",6538
"334","Lake Shore Dr & Wellington Ave",4509
"335","Lakefront Trail & Bryn Mawr Ave",4584
"336","Lakefront Trail & Wilson Ave",2507
"337","Lakeview Ave & Fullerton Pkwy",5100
"338","Laramie Ave & Gladys Ave",13
"339","Laramie Ave & Kinzie St",30
"340","Laramie Ave & Madison St",50
"341","Larrabee St & Armitage Ave",1583
"342","Larrabee St & Division St",1429
"343","Larrabee St & Kingsbury St",1928
"344","Larrabee St & Menomonee St",503
"345","Larrabee St & North Ave",594
"346","Larrabee St & Oak St",773
"347","Larrabee St & Webster Ave",3063
"348","LaSalle Dr & Huron St",1693
"349","LaSalle Dr & Huron St (*)",456
"350","LaSalle St & Adams St",1135
"351","LaSalle St & Illinois St",4104
"352","LaSalle St & Jackson Blvd",2421
"353","LaSalle St & Washington St",1450
"354","Latrobe Ave & Chicago Ave",23
"355","LBS - BBB La Magie",1
"356","Leavitt St & Addison St",382
"357","Leavitt St & Archer Ave",141
"358","Leavitt St & Armitage Ave",688
"359","Leavitt St & Belmont Ave (*)",385
"360","Leavitt St & Chicago Ave",559
"361","Leavitt St & Division St (*)",281
"362","Leavitt St & Lawrence Ave",360
"363","Leavitt St & North Ave",971
"364","Lincoln Ave & Addison St",352
"365","Lincoln Ave & Belle Plaine Ave",750
"366","Lincoln Ave & Belmont Ave",1182
"367","Lincoln Ave & Diversey Pkwy",1501
"368","Lincoln Ave & Fullerton Ave",3006
"369","Lincoln Ave & Roscoe St",1264
"370","Lincoln Ave & Sunnyside Ave",671
"371","Lincoln Ave & Waveland Ave",563
"372","Lincoln Ave & Winona St",333
"373","Lincoln Park Conservatory",2076
"374","Lincolnwood Dr & Central St",137
"375","Logan Blvd & Elston Ave",650
"376","Loomis St & Archer Ave",186
"377","Loomis St & Jackson Blvd",481
"378","Loomis St & Lexington St",882
"379","Loomis St & Taylor St (*)",79
"380","Malcolm X College",259
"381","Manor Ave & Leland Ave",134
"382","Maplewood Ave & Peterson Ave",95
"383","Marine Dr & Ainslie St",1998
"384","Marshfield Ave & 44th St",33
"385","Marshfield Ave & 59th St",14
"386","Marshfield Ave & Cortland St",2175
"387","May St & 69th St",10
"388","May St & Cullerton St",272
"389","May St & Taylor St",1195
"390","McClurg Ct & Erie St",2926
"391","McClurg Ct & Illinois St",7075
"392","McCormick Place",3679
"393","Michigan Ave & 14th St",1607
"394","Michigan Ave & 18th St",1376
"395","Michigan Ave & 71st St",8
"396","Michigan Ave & 8th St",9710
"397","Michigan Ave & Ida B Wells Dr",4047
"398","Michigan Ave & Jackson Blvd",7033
"399","Michigan Ave & Lake St",5521
"400","Michigan Ave & Madison St",2909
"401","Michigan Ave & Oak St",21633
"402","Michigan Ave & Pearson St",5441
"403","Michigan Ave & Washington St",12379
"404","Mies van der Rohe Way & Chestnut St",4637
"405","Mies van der Rohe Way & Chicago Ave",3498
"406","Millard Ave & 26th St",65
"407","Millennium Park",21901
"408","Milwaukee Ave & Cuyler Ave",86
"409","Milwaukee Ave & Grand Ave",2068
"410","Milwaukee Ave & Rockwell St",787
"411","Milwaukee Ave & Wabansia Ave",2056
"412","MLK Jr Dr & 29th St",747
"413","MLK Jr Dr & 47th St",114
"414","MLK Jr Dr & 56th St",55
"415","MLK Jr Dr & 56th St (*)",11
"416","MLK Jr Dr & 63rd St",46
"417","MLK Jr Dr & 83rd St",67
"418","MLK Jr Dr & Pershing Rd",234
"419","Monticello Ave & Irving Park Rd",195
"420","Montrose Harbor",8342
"421","Morgan Ave & 14th Pl",421
"422","Morgan St & 18th St",904
"423","Morgan St & 31st St",373
"424","Morgan St & Lake St",2650
"425","Morgan St & Pershing Rd",15
"426","Morgan St & Polk St",981
"427","MTL-ECO5.1-01",2
"428","Museum of Science and Industry",2654
"429","Noble St & Milwaukee Ave",867
"430","Normal Ave & Archer Ave",153
"431","Oakley Ave & Irving Park Rd",311
"432","Oakley Ave & Touhy Ave",182
"433","Ogden Ave & Chicago Ave",1431
"434","Ogden Ave & Congress Pkwy",141
"435","Ogden Ave & Race Ave",834
"436","Ogden Ave & Roosevelt Rd",185
"437","Orleans St & Chestnut St (NEXT Apts)",1176
"438","Orleans St & Elm St",384
"439","Orleans St & Elm St (*)",112
"440","Orleans St & Hubbard St",728
"441","Orleans St & Hubbard St (*)",198
"442","Orleans St & Merchandise Mart Plaza",2602
"443","Paulina Ave & North Ave",1334
"444","Paulina St & 18th St",585
"445","Paulina St & Flournoy St",554
"446","Paulina St & Howard St",462
"447","Paulina St & Montrose Ave",529
"448","Peoria St & Jackson Blvd",1469
"449","Perry Ave & 69th St",30
"450","Phillips Ave & 79th St",24
"451","Phillips Ave & 83rd St",27
"452","Pine Grove Ave & Irving Park Rd",1774
"453","Pine Grove Ave & Waveland Ave",2994
"454","Prairie Ave & 43rd St",318
"455","Prairie Ave & Garfield Blvd",283
"456","Princeton Ave & 47th St",60
"457","Princeton Ave & Garfield Blvd",45
"458","Pulaski Rd & Congress Pkwy",25
"459","Pulaski Rd & Eddy St (Temp)",150
"460","Pulaski Rd & Lake St",31
"461","Racine Ave & 13th St",196
"462","Racine Ave & 15th St",239
"463","Racine Ave & 18th St",984
"464","Racine Ave & 35th St",137
"465","Racine Ave & 61st St",6
"466","Racine Ave & 65th St",6
"467","Racine Ave & Belmont Ave",1925
"468","Racine Ave & Congress Pkwy",514
"469","Racine Ave & Fullerton Ave",1393
"470","Racine Ave & Garfield Blvd",62
"471","Racine Ave & Randolph St",728
"472","Racine Ave & Washington Blvd (*)",408
"473","Racine Ave & Wrightwood Ave",972
"474","Racine Ave (May St) & Fulton St",125
"475","Rainbow Beach",98
"476","Ravenswood Ave & Berteau Ave",332
"477","Ravenswood Ave & Irving Park Rd",670
"478","Ravenswood Ave & Lawrence Ave",1499
"479","Rhodes Ave & 32nd St",549
"480","Rhodes Ave & 71st St",13
"481","Richmond St & Diversey Ave",565
"482","Ridge Blvd & Howard St",170
"483","Ridge Blvd & Touhy Ave",174
"484","Ritchie Ct & Banks St",2164
"485","Rockwell St & Eastwood Ave",308
"486","Rush St & Cedar St",3851
"487","Rush St & Hubbard St",1524
"488","Rush St & Superior St",2900
"489","Sacramento Blvd & Franklin Blvd",44
"490","Sangamon St & Washington Blvd",660
"491","Sangamon St & Washington Blvd (*)",172
"492","Sawyer Ave & Irving Park Rd",242
"493","Sedgwick St & Huron St",1341
"494","Sedgwick St & North Ave",2361
"495","Sedgwick St & Schiller St",644
"496","Sedgwick St & Webster Ave",2600
"497","Seeley Ave & Garfield Blvd",17
"498","Seeley Ave & Roscoe St",727
"499","Shedd Aquarium",20781
"500","Sheffield Ave & Fullerton Ave",3023
"501","Sheffield Ave & Kingsbury St",1626
"502","Sheffield Ave & Waveland Ave",4410
"503","Sheffield Ave & Webster Ave",2150
"504","Sheffield Ave & Wellington Ave",2153
"505","Sheffield Ave & Willow St",1263
"506","Sheffield Ave & Wrightwood Ave",1731
"507","Sheridan Rd & Buena Ave",842
"508","Sheridan Rd & Columbia Ave",434
"509","Sheridan Rd & Greenleaf Ave",455
"510","Sheridan Rd & Irving Park Rd",1607
"511","Sheridan Rd & Lawrence Ave",890
"512","Sheridan Rd & Loyola Ave",1176
"513","Sheridan Rd & Montrose Ave",1575
"514","Sheridan Rd & Noyes St (NU)",726
"515","Shields Ave & 28th Pl",146
"516","Shields Ave & 31st St",153
"517","Shields Ave & 43rd St",10
"518","Shore Dr & 55th St",2710
"519","Smith Park (*)",262
"520","South Chicago Ave & 83rd St",25
"521","South Chicago Ave & Elliot Ave",10
"522","South Shore Dr & 67th St",349
"523","South Shore Dr & 71st St",372
"524","South Shore Dr & 74th St",129
"525","Southport Ave & Belmont Ave",1026
"526","Southport Ave & Clark St",440
"527","Southport Ave & Clybourn Ave",1493
"528","Southport Ave & Irving Park Rd",984
"529","Southport Ave & Roscoe St",2464
"530","Southport Ave & Waveland Ave",2598
"531","Southport Ave & Wellington Ave",1732
"532","Southport Ave & Wrightwood Ave",1453
"533","Spaulding Ave & Armitage Ave",839
"534","Spaulding Ave & Division St",272
